,iso2,Alcohol Consompution Group,Value
806,TR,Mean_Alcom2_religion,0.7333333333333333
382,TR,Mean_Alcom1_religion,0.6666666666666666
805,TR,Mean_Alcom2_religion,0.7333333333333333
100,TR,Alcohol_com1,1.3
794,UA,Mean_Alcom2_religion,9.0
653,UA,Mean_Alcom2_region,9.68888888888889
371,UA,Mean_Alcom1_religion,5.5
512,UA,Alcohol_com2,9.0
89,UA,Alcohol_com1,5.5
230,UA,Mean_Alcom1_region,9.022222222222222
419,UG,Mean_Alcom1_religion,7.340540540540541
278,UG,Mean_Alcom1_region,2.955813953488373
701,UG,Mean_Alcom2_region,3.0302325581395344
842,UG,Mean_Alcom2_religion,7.699999999999999
560,UG,Alcohol_com2,11.3
137,UG,Alcohol_com1,7.6
18,UY,Alcohol_com1,9.0
582,UY,Mean_Alcom2_region,5.317391304347827
159,UY,Mean_Alcom1_region,5.278260869565217
723,UY,Mean_Alcom2_religion,7.699999999999999
300,UY,Mean_Alcom1_religion,7.340540540540541
441,UY,Alcohol_com2,8.0
144,UZ,Mean_Alcom1_region,2.2189189189189187
285,UZ,Mean_Alcom1_religion,0.6666666666666666
3,UZ,Alcohol_com1,1.6
708,UZ,Mean_Alcom2_religion,0.7333333333333333
567,UZ,Mean_Alcom2_region,2.213513513513514
426,UZ,Alcohol_com2,1.8
75,VN,Alcohol_com1,3.1
498,VN,Alcohol_com2,2.2
780,VN,Mean_Alcom2_religion,2.2
639,VN,Mean_Alcom2_region,2.213513513513514
216,VN,Mean_Alcom1_region,2.2189189189189187
357,VN,Mean_Alcom1_religion,3.1
635,VU,Mean_Alcom2_region,2.213513513513514
212,VU,Mean_Alcom1_region,2.2189189189189187
71,VU,Alcohol_com1,0.8
353,VU,Mean_Alcom1_religion,6.533333333333334
494,VU,Alcohol_com2,0.9
776,VU,Mean_Alcom2_religion,5.933333333333334
411,YE,Mean_Alcom1_religion,0.6666666666666666
270,YE,Mean_Alcom1_region,2.2189189189189187
693,YE,Mean_Alcom2_region,2.213513513513514
834,YE,Mean_Alcom2_religion,0.7333333333333333
552,YE,Alcohol_com2,0.0
129,YE,Alcohol_com1,0.0
156,ZA,Mean_Alcom1_region,2.955813953488373
438,ZA,Alcohol_com2,7.5
579,ZA,Mean_Alcom2_region,3.0302325581395344
720,ZA,Mean_Alcom2_religion,4.609999999999999
297,ZA,Mean_Alcom1_religion,4.74
15,ZA,Alcohol_com1,7.1
195,ZM,Mean_Alcom1_region,2.955813953488373
618,ZM,Mean_Alcom2_region,3.0302325581395344
54,ZM,Alcohol_com1,2.9
759,ZM,Mean_Alcom2_religion,4.609999999999999
336,ZM,Mean_Alcom1_religion,4.74
477,ZM,Alcohol_com2,2.8
316,ZW,Mean_Alcom1_religion,3.6
598,ZW,Mean_Alcom2_region,3.0302325581395344
457,ZW,Alcohol_com2,2.9
175,ZW,Mean_Alcom1_region,2.955813953488373
739,ZW,Mean_Alcom2_religion,2.9
34,ZW,Alcohol_com1,3.6
422,iso2,Mean_Alcom1_religion,7.8
704,iso2,Mean_Alcom2_region,9.68888888888889
93,iso2,Alcohol_com1,10.4
139,iso2,Alcohol_com1,9.2
140,iso2,Alcohol_com1,6.4
234,iso2,Mean_Alcom1_region,9.022222222222222
280,iso2,Mean_Alcom1_region,9.022222222222222
281,iso2,Mean_Alcom1_region,9.022222222222222
798,iso2,Mean_Alcom2_religion,10.633333333333333
375,iso2,Mean_Alcom1_religion,9.133333333333333
844,iso2,Mean_Alcom2_religion,7.95
516,iso2,Alcohol_com2,11.0
562,iso2,Alcohol_com2,8.9
563,iso2,Alcohol_com2,7.0
657,iso2,Mean_Alcom2_region,9.68888888888889
703,iso2,Mean_Alcom2_region,9.68888888888889
421,iso2,Mean_Alcom1_religion,7.8
845,iso2,Mean_Alcom2_religion,7.95
36,,Alcohol_com1,7.8
177,,Mean_Alcom1_region,2.955813953488373
318,,Mean_Alcom1_religion,4.74
459,,Alcohol_com2,7.7
600,,Mean_Alcom2_region,3.0302325581395344
741,,Mean_Alcom2_religion,4.609999999999999
