INDICATOR,HFA_426,,,
,,,,
HFA_426,"Pure alcohol consumption, litres per capita, age 15+",,,
,,,,
UNIT_TYPE,Unit,,,
LITRES_PCAPITA,litres per capita,,,
,,,,
EXTERNID,ID in the originating data source,,,
,,,,
DATA_SOURCE,Data source,,,
HFA,European Health for All database,,,
,,,,
DATA_TYPE_REPRESENTATION,Data type representation,,,
RATIO,Ratio,,,
,,,,
DATA_SET,Data set,,,
HFA,European Health for All database (WHO),,,
,,,,
DATA_MASK,Mask for controlling the output format of values,,,
,,,,
FIN,,ALL,1990,9.53
SWE,,ALL,1976,8.78
,CIS,ALL,2003,8.18
SRB,,ALL,2004,7.42
MDA,,ALL,2010,8.25
MKD,,ALL,2005,1.75
LUX,,ALL,1974,18.54
,CARINFONET,ALL,2009,3.31
NLD,,ALL,1973,9.77
AND,,ALL,2000,12.36
SWE,,ALL,1979,8.08
CHE,,ALL,2009,10.15
,CARINFONET,ALL,2007,3.4
POL,,ALL,1991,8.63
MLT,,ALL,1972,2.89
ISR,,ALL,1993,2.18
ITA,,ALL,1990,10.99
POL,,ALL,1992,8.27
FIN,,ALL,1997,8.56
FIN,,ALL,1998,8.6
MKD,,ALL,2002,2.53
POL,,ALL,1999,8.22
PRT,,ALL,2002,12
ALB,,ALL,1998,1.54
,NORDIC,ALL,1981,8.1
CZE,,ALL,1979,13.17
,EU_AFTER_MAY2004,ALL,2009,11.1
LUX,,ALL,1996,13.31
CHE,,ALL,2002,10.85
LUX,,ALL,1995,13.61
ISR,,ALL,1989,2.03
MLT,,ALL,2007,7.45
,EU_MEMBERS,ALL,1995,11.21
,EU_MEMBERS,ALL,1999,10.83
ISL,,ALL,1999,5.89
CHE,,ALL,1989,13.86
,SEEHN,ALL,1999,7.58
,EU_AFTER_MAY2004,ALL,2013,11.23
,CIS,ALL,2011,8.7
FIN,,ALL,1986,8.51
SVN,,ALL,1982,19.5
MKD,,ALL,2014,1.13
,EU_BEFORE_MAY2004,ALL,2004,11.44
NLD,,ALL,2012,9.05
NLD,,ALL,2007,9.53
HRV,,ALL,1991,13.69
TKM,,ALL,2000,2.9
LUX,,ALL,1973,19.07
,EU_AFTER_MAY2004,ALL,1970,9.78
UKR,,ALL,1981,7.48
NLD,,ALL,2005,9.69
NLD,,ALL,2013,8.68
GBR,,ALL,2004,12.22
BGR,,ALL,2010,10.8
PRT,,ALL,1986,13.49
KGZ,,ALL,1994,2.98
KGZ,,ALL,1997,2.64
UKR,,ALL,1987,4.01
,EU_AFTER_MAY2004,ALL,1977,11.73
CYP,,ALL,2004,13.03
KAZ,,ALL,1998,3.89
SVN,,ALL,1991,13.18
MKD,,ALL,2010,1.47
DNK,,ALL,1986,12.26
,EU_AFTER_MAY2004,ALL,1993,10.71
LVA,,ALL,2001,6.68
TKM,,ALL,2013,2.93
AZE,,ALL,2005,0.73
CHE,,ALL,1978,14.16
,SMALL,ALL,1984,7.87
